product_category_name,year,month,order_count,total_sales
computers,2017,12,4,172.84
computers,2018,1,63,11836.439999999951
computers,2018,4,9,9503.099999999999
computers,2018,5,2,2111.8
computers,2018,6,2,2111.8
computers,2018,7,9,2474.5499999999997
computers,2018,8,1,69.86
computers_accessories,2016,10,5,3169.1
computers_accessories,2017,1,1,111.27
computers_accessories,2017,2,36,2814.7499999999986
computers_accessories,2017,3,139,28159.13999999999
computers_accessories,2017,4,543,78172.83000000044
computers_accessories,2017,5,81,15448.699999999988
computers_accessories,2017,6,303,54270.80999999995
computers_accessories,2017,7,512,38408.34999999997
computers_accessories,2017,8,500,106164.11000000076
computers_accessories,2017,9,479,100174.21000000062
computers_accessories,2017,10,663,254773.77999999787
computers_accessories,2017,11,1153,163419.1999999982
computers_accessories,2017,12,518,70157.77000000057
computers_accessories,2018,1,4601,610516.149999978
computers_accessories,2018,2,3299,321838.7399999974
computers_accessories,2018,3,3132,738283.9300000094
computers_accessories,2018,4,3179,528291.0900000306
computers_accessories,2018,5,1632,268124.8599999952
computers_accessories,2018,6,1963,729977.9799999923
computers_accessories,2018,7,1721,681319.020000007
computers_accessories,2018,8,910,522175.9600000074
consoles_games,2016,10,1,83.36
consoles_games,2017,1,1,399.2
consoles_games,2017,3,32,26903.850000000002
consoles_games,2017,5,26,3383.76
consoles_games,2017,6,1,8.65
consoles_games,2017,8,17,1836.8999999999992
consoles_games,2017,9,2,85.78
consoles_games,2017,10,13,880.8999999999997
consoles_games,2017,11,5,762.9599999999999
consoles_games,2017,12,17,1699.1399999999999
consoles_games,2018,1,15,1981.0699999999997
consoles_games,2018,2,9,1122.1599999999999
consoles_games,2018,3,15,884.0600000000002
consoles_games,2018,4,5,628.8800000000001
consoles_games,2018,5,22,2140.28
consoles_games,2018,6,7,1807.3999999999996
consoles_games,2018,7,23,4937.449999999999
consoles_games,2018,8,6,1383.6200000000001
construction_tools_construction,2017,8,1,109.03
construction_tools_construction,2017,9,1,820.05
construction_tools_construction,2017,10,1,395.6
construction_tools_construction,2017,11,4,2531.56
construction_tools_construction,2017,12,2,1069.56
construction_tools_construction,2018,1,18,2085.05
construction_tools_construction,2018,2,66,15428.719999999987
construction_tools_construction,2018,3,13,1117.36
construction_tools_construction,2018,4,34,3559.7500000000005
construction_tools_construction,2018,5,41,29742.089999999993
construction_tools_construction,2018,6,81,48285.11999999998
construction_tools_construction,2018,7,62,6371.920000000001
construction_tools_construction,2018,8,64,21945.24
construction_tools_lights,2018,2,2,169.37
construction_tools_lights,2018,4,4,818.86
construction_tools_lights,2018,6,9,8515.0
construction_tools_lights,2018,7,6,545.56
construction_tools_lights,2018,8,16,23339.5
construction_tools_safety,2018,2,1,759.0
construction_tools_safety,2018,3,1,1004.99
construction_tools_safety,2018,4,3,193.20000000000002
construction_tools_safety,2018,5,8,615.99
cool_stuff,2017,1,5,3123.75
cool_stuff,2017,2,8,1109.1399999999999
cool_stuff,2017,3,354,30951.359999999844
cool_stuff,2017,4,297,31509.499999999876
cool_stuff,2017,5,711,73664.03000000007
cool_stuff,2017,6,470,69192.19000000002
cool_stuff,2017,7,778,118264.96000000041
cool_stuff,2017,8,483,95105.73000000004
cool_stuff,2017,9,249,50658.08000000004
cool_stuff,2017,10,205,31689.41000000011
