seller_id,order_count,avg_processing_time,avg_delivery_days,total_sales,prediction
00U0Udw6rshU,7,0.07114583333333334,7.0,689.5,1
01xUkncqaD55,4,0.009664351851851851,7.0,731.6,1
03udyaVfPg3w,4,0.09435185185185185,7.0,537.9200000000001,1
05nIYpVrMwiz,171,0.4911940924842972,7.0,73325.34,1
07gyZgJ64fE7,1,1.248888888888889,7.0,46.2,2
09F3UWEcH2uN,1,0.009108796296296297,7.0,2799.65,1
0BKyRKbmL7lm,8,0.2730005787037037,7.0,5542.5,1
0BSAzZYz5osO,1,0.010439814814814815,7.0,65.06,1
0DNaX0F0Ui73,5,0.007296296296296296,7.0,454.97,1
0G3Q4xIWFhMg,209,0.5599030325181641,7.0,20977.34,1
0GEadORWUKUQ,2,0.5032581018518518,7.0,118.34,1
0HbVEHMspxA1,179,0.4082549012000828,7.0,22407.66,1
0IrmNDkZ8lJi,534,0.6108665166805383,7.0,105018.26,1
0LjmES9V5fHW,67,0.2532039455500276,7.0,12817.52,1
0Mzbc3aACMOQ,21592,0.40573757277215156,7.0,3698715.99,1
0NXnoudqCr2b,2,0.022858796296296297,7.0,696.3,1
0SHS5xDUVSpP,1,0.007604166666666667,7.0,151.72,1
0TGBD26I0208,613,0.6587802851791432,7.0,265589.76,1
0UJwyzr6G2Qa,3,0.5052430555555555,7.0,1308.54,1
0YdJSAunKLGa,6,0.4369155092592592,7.0,497.36,1
0ZnyFkOHIcfC,9,0.12451774691358025,7.0,1604.69,1
0b9lM9eDKXf5,4,0.02603587962962963,7.0,1438.4,1
0cN5BVsfhFQY,1,0.006944444444444444,7.0,692.0,1
0cZYf13ssPdF,85,0.15182570806100218,7.0,44818.9,1
0cnXhOqSeYuN,26,1.208931623931624,7.0,16097.26,1
0d6YEJEj6lhU,1,1.2605439814814814,7.0,56.7,2
0dqGLUrWy1bt,1,0.025625,7.0,35.7,1
0gzNO7W513Gr,1,0.0,7.0,18.1,1
0irpsZh24yl6,1,1.9969212962962963,7.0,132.76,2
0kd4nvPqfBUC,23,0.32563254830917876,7.0,1929.9,1
0la80NIAHNZZ,54,0.34138717421124826,7.0,10202.15,1
0mNQOOvRxX8B,1,0.007719907407407407,7.0,173.2,1
0pPOelafmUDD,17,0.4906365740740741,7.0,5514.91,1
0q4vSgMUGbNP,1,0.007291666666666667,7.0,59.85,1
0tBoRWzPdf1v,65,0.5574415954415954,7.0,12367.76,1
123r3r62xRB8,1,0.01545138888888889,7.0,28.8,1
13SGAFbd1P23,13,0.4871688034188034,7.0,6182.6900000000005,1
14AIqEsZssES,37,0.027563501001001002,7.0,4834.530000000001,1
15ObmEc5xtyV,4,1.6259953703703705,7.0,2039.96,1
15xInlKerZpx,2,0.5092129629629629,7.0,112.73,1
16pMg4KJ3hIj,881,0.4416217629377391,7.0,158025.5,1
16wOhdFbtvPq,1,0.7370949074074075,7.0,26.14,2
18sm9SoU62gR,1,2.44412037037037,7.0,181.56,2
1B2xMd2eH2aU,64,0.376214916087963,7.0,17534.49,1
1D2cEU39QPD6,361,0.4642151110598133,7.0,163236.28,1
1DpugyRBC5sk,18,0.14914930555555556,7.0,7042.64,1
1Ho8qRyOp91O,12,0.20542727623456788,7.0,939.04,1
1JinMoPQlbPb,2,0.013726851851851851,7.0,309.89,1
1KZwJ21l1h3h,8,0.12489293981481482,7.0,3283.96,1
1KgnSYP2AfIM,6,0.21369212962962966,7.0,947.08,1
1LZbgYQZRSEf,11,0.19119423400673402,7.0,6183.719999999999,1
1T4Kvn885SNP,1,0.012430555555555556,7.0,156.3,1
1UBbfTkC9FVR,102,1.8143567311183735,7.0,53145.94,1
1UrSrrsGE1v8,26,0.21946447649572648,7.0,8858.14,1
1WLscp8MQxbC,4,0.01152199074074074,7.0,2131.96,1
1X9869nA1WYV,50,0.4853576388888889,7.0,4776.64,1
1Yy6Z1b3bzM0,133,0.2054881126427179,7.0,54700.35,1
1b6QwEUEjB7M,27,0.181843707133059,7.0,7999.82,1
1bok87t4PI1j,1,0.997662037037037,7.0,47.08,2
1h6SSNc2BYo9,157,0.11659958126916725,7.0,34816.79,1
1hwK88ByZgFX,2,0.8619733796296296,7.0,1384.0,1
1ikyDIqfbsLY,4,0.7519820601851852,7.0,1054.82,1
1jP534QrrMsG,4,1.38984375,7.0,1583.93,1
1ki0AcGqBuUm,18,0.11209426440329219,7.0,4841.17,1
1p280yDQxH7E,1,0.01269675925925926,7.0,509.99,1
1qdJWMNQDRGS,2,0.23475694444444445,7.0,197.56,1
1svDQkmb2Knh,58,0.5115489303959131,7.0,10245.99,1
1tQEjUJuOyJ8,426,0.3163485154755694,7.0,153777.53,1
1tQXSFyHrsGq,32,0.30005389178240743,7.0,2892.84,1
1xfHf0FSEHYm,3,0.19145061728395063,7.0,65.92,1
1zSHBJSCVq6l,11,0.29730218855218854,7.0,3730.68,1
203ASQEGrFJT,4,0.1875636574074074,7.0,453.96,1
22EFCx8qJf8Y,2,0.009149305555555556,7.0,124.84,1
23qXUE3ury3g,2,0.5690277777777778,7.0,332.84000000000003,1
24mjkJMrK51h,135,0.24193964334705073,7.0,32675.78,1
24tiV8NItrdt,2,1.193599537037037,7.0,270.69,2
24xKe3CFg6nB,9,1.0321103395061728,7.0,677.25,1
26g8rZH1TptV,18,0.15566872427983539,7.0,1825.73,1
28OLN92QJ3m4,1,0.01462962962962963,7.0,43.63,1
29mjIQ6NC7vk,11,0.3017529461279461,7.0,2280.55,1
2Akc8c3Pc63n,6,0.7000462962962963,7.0,1517.94,1
2D45knxekXG0,5,0.9518587962962963,7.0,271.15,2
2EBnmKLQ6faA,36,1.6312172067901234,7.0,963.72,1
2EK6JaJ354rz,48,0.025905671296296295,7.0,18534.45,1
2ES2pcjMcu3D,71,0.4849132759520084,7.0,4145.39,1
2Fo99ZZMjAbk,4,1.1375,7.0,360.32,1
2HgT2MWHngsN,36,0.432227366255144,7.0,6637.93,1
2IFngbwutyvZ,7,0.27284887566137567,7.0,1573.97,1
2IRnDdooRzAF,5,0.2519537037037037,7.0,1156.3500000000001,1
2IxTbqKqgUdA,62,0.44938564068100356,7.0,32427.27,1
2LEeO1Vk3p6w,6,1.4174498456790123,7.0,1386.09,1
2NPSX83ZMsVH,5,0.02209259259259259,7.0,865.52,1
2NnxAiHaF3XO,1,0.00866898148148148,7.0,135.0,1
2OifxKUrCyGx,5,0.7047430555555556,7.0,1468.6000000000001,1
2PgQtdeVOBNS,1,2.225902777777778,7.0,692.0,1
2QLSf7Kgi2WU,15,0.5473279320987654,7.0,9106.98,1
2QjevWskirjm,18,0.30231931584362143,7.0,9045.21,1
2RAomcA7MaVK,35,0.3196617063492064,7.0,8792.98,1
2TA7iMcIqrnd,3,0.013248456790123457,7.0,200.19,1
2UV2zaeUhNyA,527,0.12892420409023825,7.0,159604.15,1
2Vzr14MB7bRD,2996,0.3038296470911833,7.0,1415034.46,1
2WVJh13Ip48Y,5,0.44695370370370363,7.0,375.97,1
2WlVV7z7T4jS,3,0.009212962962962963,7.0,1057.71,1
2Y33waIXINqR,28,0.5006014384920635,7.0,15029.11,1
2ZJaGRSW74BZ,83,0.6704364680946006,7.0,23884.82,1
2a07LobkzHUx,1710,0.4091003492527615,7.0,482491.87,1
2a51UHcJkdrn,181,0.34715380090034786,7.0,105862.89,1
2b7PlZKhtVES,3,0.5686226851851852,7.0,462.31,1
2bDQEm17cVgN,2,0.0034780092592592592,7.0,807.8,1
2cHLHkAXYkK5,1,0.009351851851851853,7.0,330.0,1
2cg7E5j1pzxq,563,0.3945102707058746,7.0,96237.5,1
2gdSv9QVLg3z,11,0.572946127946128,7.0,2942.2799999999997,1
2ggc1jBZayiA,1,0.5316898148148148,7.0,252.99,1
2jGwpefl7X2W,1,0.8238541666666667,7.0,399.2,1
2jTASjIU2rIf,1283,0.5010619100199186,7.0,384276.02999999997,1
2kAh9lqZUKGn,1,0.009398148148148149,7.0,2600.0,1
2mrYLZRLRuQg,4,0.557037037037037,7.0,153.92,1
2mu4r7QrpHur,15,0.5645246913580247,7.0,3230.33,1
2qxHpcYDkIki,2,0.22276041666666668,7.0,708.88,1
2rMpyCyw7h88,6,0.1411496913580247,7.0,1381.8700000000001,1
2rf7HX0nQDBL,11,1.4585195707070708,7.0,2479.93,1
2u7k61LiSKc4,166,0.1064112003569835,7.0,49831.090000000004,1
2v0gTzEWz4Yb,9,0.030592849794238684,7.0,2772.14,1
2vYpt4cdDFbY,34,0.3460154547930283,7.0,3906.64,1
39KLUoY5AbiH,6,0.015412808641975308,7.0,3866.62,1
3Alp7oIhUtGc,24,0.48019531249999997,7.0,11155.57,1
3DUW3hZcul9u,2,0.6028009259259259,7.0,88.42,2
3EIRvF91uvoZ,259,0.000510465822965823,7.0,716921.03,0
3FEfMKD9aVSs,1,0.004479166666666667,7.0,166.94,1
3FRwW3adXzn7,29,0.9603615900383142,7.0,19076.9,1
3FilZnsiTfK7,4,0.17396701388888888,7.0,938.37,1
3GcgZEGJenJQ,1,1.4103356481481482,7.0,116.11,2
3HDIfKi2zNiV,3,0.41313657407407406,7.0,53.58,1
3JefjD3oIEVl,2,0.9117476851851851,7.0,617.2,1
3KuTukGXgD7C,511,0.39359267413205773,7.0,186234.55,1
3KvlSqi2bXPB,5,1.4332291666666666,7.0,2799.0,1
3PpQdsTW6fL7,20,0.2369091435185185,7.0,5325.45,1
3Q4DoxWsVAXa,313,0.3626627396166134,7.0,37773.99,1
3RErtNzohFr9,85,1.1104334150326798,7.0,69452.32,1
3U2zqY4uiEc2,1,0.04684027777777778,7.0,849.0,1
3W9I1ZMht6Z1,57,0.44817616959064327,7.0,8804.7,1
3Xh4RtSUHhaT,12,0.48876832561728395,7.0,3019.45,1
3cKyVacxuXai,5,1.570289351851852,7.0,13445.0,1
3cNydxlqQDMV,2,0.253125,7.0,1699.0,1
3cqSxyYyqpx6,128,0.653814380787037,7.0,124050.6,1
3ctK1z8sO9xA,2,0.013252314814814814,7.0,301.64,1
3e9JGBdDRF6C,11,0.16450968013468015,7.0,3875.2999999999997,1
3f1YtqXDwmbg,4,0.01005787037037037,7.0,4277.44,1
3fQVgVxbARce,1,0.009375,7.0,27.4,1
3hL1JCnc9i88,5,0.069625,7.0,825.31,1
3hxLpogKUphW,43,1.2103466838931956,7.0,12420.68,1
3iCpHGLu1n7h,19,0.7741892056530214,7.0,5564.19,1
3jC10JF4xtfp,4,0.0865306712962963,7.0,1207.79,1
3jo4LaNyJc2x,16,0.012647569444444444,7.0,4048.0,1
3jwvL6ihC45G,298,0.768775905729555,7.0,12339.54,1
3k8LOQ1gSUEN,2,0.2185590277777778,7.0,814.22,1
3m9qtOydq06B,1,0.015347222222222222,7.0,100.0,1
3mO6GyZzHTGP,14,0.5540930886243387,7.0,2718.1,1
3qJR4C8RG83p,4,0.2987384259259259,7.0,677.96,1
3rfrdb7tcRGU,64,0.014293981481481482,7.0,15272.96,0
3saCm8JsQUeq,5,0.4931828703703703,7.0,1018.91,1
3t74Pe6EQyNu,81,0.42375257201646094,7.0,12181.59,1
3ujXEvDXLdVS,2,0.014959490740740742,7.0,273.8,1
3urGiryVTEEU,4,1.7844560185185185,7.0,3398.0,1
3vJjXqgh2x7U,1,0.007974537037037037,7.0,222.98,1
3vZoB6iuhao2,1,0.019224537037037037,7.0,849.5,1
3wnsc4tasTf2,1,0.011319444444444444,7.0,28.82,1
41snRze4ouAm,2,0.4350057870370371,7.0,34.96,1
422TdwqYOWdw,2,0.007650462962962963,7.0,189.71,1
454R0jJQbvt5,1,0.009432870370370371,7.0,535.0,1
4AOIFgKRuIJD,5,0.007712962962962963,7.0,284.95,1
