category,arima_params,avg_historical_demand,forecast_demand,min_forecast,max_forecast,growth_rate,mae,rmse,mape,data_quality
toys,"(3,2,0)",15018.91304347826,0.0,0.0,9122.488181453333,-100.0,,,,Sufficient
health_beauty,"(0,2,1)",1776.952380952381,1555.5137060634515,0.0,6010.758804972587,-12.461711257014466,,,,Sufficient
computers_accessories,"(1,2,1)",1208.095238095238,1348.05156984905,0.0,5757.577616448583,11.584875706858702,,,,Sufficient
garden_tools,"(2,2,0)",1002.9,0.0,0.0,3408.7774002586757,-100.0,2670.5143697534772,2809.697801160052,854.3846400856744,Sufficient
watches_gifts,"(0,2,1)",573.75,396.46877745297166,0.0,4714.022583323738,-30.89868802562585,4106.159095270579,4700.192650029266,908.1481632964117,Sufficient
