seller_id,order_count,avg_processing_time,avg_delivery_days,total_sales,prediction
00U0Udw6rshU,7,0.0,7.857142857142857,689.5,1
01xUkncqaD55,4,0.0,8.0,731.6,1
03udyaVfPg3w,4,0.0,6.0,537.9200000000001,2
05nIYpVrMwiz,171,0.23976608187134502,7.333333333333333,73325.34,0
07gyZgJ64fE7,1,1.0,8.0,46.2,1
09F3UWEcH2uN,1,0.0,4.0,2799.65,2
0BKyRKbmL7lm,8,0.25,6.625,5542.5,2
0BSAzZYz5osO,1,0.0,6.0,65.06,2
0DNaX0F0Ui73,5,0.0,7.2,454.97,0
0G3Q4xIWFhMg,209,0.291866028708134,6.837320574162679,20977.34,2
0GEadORWUKUQ,2,0.0,7.0,118.34,1
0HbVEHMspxA1,179,0.22346368715083798,6.553072625698324,22407.66,1
0IrmNDkZ8lJi,534,0.44756554307116103,6.187265917602996,105018.26,0
0LjmES9V5fHW,67,0.08955223880597014,6.149253731343284,12817.52,1
0Mzbc3aACMOQ,21592,0.24912004446091146,6.462856613560578,3698715.99,2
0NXnoudqCr2b,2,0.0,9.0,696.3,2
0SHS5xDUVSpP,1,0.0,10.0,151.72,2
0TGBD26I0208,613,0.4061990212071778,6.753670473083197,265589.76,1
0UJwyzr6G2Qa,3,0.3333333333333333,7.0,1308.54,0
0YdJSAunKLGa,6,0.3333333333333333,6.166666666666667,497.36,1
0ZnyFkOHIcfC,9,0.1111111111111111,7.666666666666667,1604.69,0
0b9lM9eDKXf5,4,0.0,6.0,1438.4,1
0cN5BVsfhFQY,1,0.0,4.0,692.0,1
0cZYf13ssPdF,85,0.10588235294117647,6.08235294117647,44818.9,1
0cnXhOqSeYuN,26,1.0384615384615385,5.884615384615385,16097.26,2
0d6YEJEj6lhU,1,1.0,4.0,56.7,2
0dqGLUrWy1bt,1,0.0,9.0,35.7,0
0gzNO7W513Gr,1,0.0,4.0,18.1,1
0irpsZh24yl6,1,1.0,3.0,132.76,0
0kd4nvPqfBUC,23,0.2608695652173913,6.695652173913044,1929.9,0
0la80NIAHNZZ,54,0.25925925925925924,6.055555555555555,10202.15,2
0mNQOOvRxX8B,1,0.0,9.0,173.2,1
0pPOelafmUDD,17,0.23529411764705882,7.117647058823529,5514.91,0
0q4vSgMUGbNP,1,0.0,5.0,59.85,0
0tBoRWzPdf1v,65,0.24615384615384617,6.476923076923077,12367.76,2
123r3r62xRB8,1,0.0,9.0,28.8,1
13SGAFbd1P23,13,0.23076923076923078,6.384615384615385,6182.6900000000005,2
14AIqEsZssES,37,0.0,6.675675675675675,4834.530000000001,0
15ObmEc5xtyV,4,1.0,8.0,2039.96,0
15xInlKerZpx,2,0.5,7.0,112.73,1
16pMg4KJ3hIj,881,0.2690124858115778,6.66061293984109,158025.5,1
16wOhdFbtvPq,1,0.0,6.0,26.14,1
18sm9SoU62gR,1,2.0,6.0,181.56,1
1B2xMd2eH2aU,64,0.328125,6.109375,17534.49,0
1D2cEU39QPD6,361,0.42382271468144045,6.149584487534626,163236.28,0
1DpugyRBC5sk,18,0.1111111111111111,7.333333333333333,7042.64,2
1Ho8qRyOp91O,12,0.0,4.416666666666667,939.04,0
1JinMoPQlbPb,2,0.0,9.5,309.89,1
1KZwJ21l1h3h,8,0.0,5.75,3283.96,0
1KgnSYP2AfIM,6,0.16666666666666666,7.5,947.08,1
1LZbgYQZRSEf,11,0.0,6.181818181818182,6183.719999999999,1
1T4Kvn885SNP,1,0.0,5.0,156.3,1
1UBbfTkC9FVR,102,0.9803921568627451,6.980392156862745,53145.94,0
1UrSrrsGE1v8,26,0.0,7.076923076923077,8858.14,0
1WLscp8MQxbC,4,0.0,7.5,2131.96,0
1X9869nA1WYV,50,0.0,6.02,4776.64,1
1Yy6Z1b3bzM0,133,0.11278195488721804,6.406015037593985,54700.35,0
1b6QwEUEjB7M,27,0.1111111111111111,6.0,7999.82,0
1bok87t4PI1j,1,0.0,7.0,47.08,0
1h6SSNc2BYo9,157,0.0,6.3949044585987265,34816.79,0
1hwK88ByZgFX,2,0.5,4.0,1384.0,1
1ikyDIqfbsLY,4,0.5,5.75,1054.82,0
1jP534QrrMsG,4,1.0,6.0,1583.93,2
1ki0AcGqBuUm,18,0.05555555555555555,6.555555555555555,4841.17,0
1p280yDQxH7E,1,0.0,7.0,509.99,0
1qdJWMNQDRGS,2,0.0,7.0,197.56,1
1svDQkmb2Knh,58,0.3620689655172414,6.327586206896552,10245.99,0
1tQEjUJuOyJ8,426,0.19014084507042253,6.678403755868545,153777.53,2
1tQXSFyHrsGq,32,0.25,5.34375,2892.84,0
1xfHf0FSEHYm,3,0.0,8.333333333333334,65.92,0
1zSHBJSCVq6l,11,0.2727272727272727,4.454545454545454,3730.68,1
203ASQEGrFJT,4,0.0,8.0,453.96,2
22EFCx8qJf8Y,2,0.0,5.5,124.84,0
23qXUE3ury3g,2,0.5,6.5,332.84000000000003,0
24mjkJMrK51h,135,0.1037037037037037,6.4,32675.78,0
24tiV8NItrdt,2,1.0,6.5,270.69,0
24xKe3CFg6nB,9,1.0,7.0,677.25,2
26g8rZH1TptV,18,0.1111111111111111,5.333333333333333,1825.73,1
28OLN92QJ3m4,1,0.0,3.0,43.63,1
29mjIQ6NC7vk,11,0.18181818181818182,8.090909090909092,2280.55,0
2Akc8c3Pc63n,6,0.5,8.5,1517.94,1
2D45knxekXG0,5,0.6,5.8,271.15,1
2EBnmKLQ6faA,36,1.1666666666666667,6.333333333333333,963.72,0
2EK6JaJ354rz,48,0.0,5.729166666666667,18534.45,1
2ES2pcjMcu3D,71,0.323943661971831,7.605633802816901,4145.39,2
2Fo99ZZMjAbk,4,1.0,6.5,360.32,1
