customer_state,order_count,avg_processing_time,avg_delivery_days,total_sales,on_time_delivery_rate
AC,982,0.7475908364448971,18.53082030955344,178092.43,95.19918283963229
AL,12807,0.5816800500088204,22.80050440713123,6632881.8,73.70620379299261
AM,3568,0.588329044957233,24.744459372664423,636162.6,96.94829047753602
AP,2142,0.7479146133762147,22.750899038627797,767950.29,99.90658570761326
BA,86906,0.520516750857248,18.845857712190735,52669152.95,86.36352952237684
CE,39525,0.44949944830978983,19.776918500948767,27128432.31,78.13325807527517
DF,46734,0.44875439618669255,13.213317552531347,14578550.42,93.23516075399996
ES,53832,0.5845586038336691,15.532817804353945,30612214.5,86.4058231353617
GO,67094,0.7403756925054843,16.258293259477583,55920070.43,90.29510098774102
MA,17898,0.4911984857350086,19.320465545110565,8871790.01,81.42938173567782
MG,314581,0.49873466905479324,12.605892273726358,193157356.04999998,94.47254080211536
MS,17839,0.4961974368736414,14.601023271032258,7867770.38,91.68515042939202
MT,23112,0.7069261058068279,19.038065872165976,16199943.32,95.5025403136735
PA,21806,0.4804510667086191,22.105203584491697,14107811.37,83.78024240722543
PB,13131,0.6434644383026313,19.35120871816623,5683648.96,91.58848783590396
PE,45612,0.43982546675907247,17.94127709523931,23350133.48,91.7654734852746
PI,10534,0.42587669600728506,17.05874605334402,3078264.89,84.72766457680251
PR,118081,0.5449596880021467,12.818049492744622,67024812.3,95.64534576057083
RJ,349937,0.39471440199844443,15.49989261182092,200037704.57,85.80931982429212
RN,12014,0.2790131921708624,18.84325896215218,7128323.3,88.97414512093411
RO,5908,0.45985048129968153,20.132794921434215,6249034.71,97.98065501442389
RR,732,1.3754370161657559,25.42825430707347,140457.66,97.2809667673716
RS,150368,0.48990405113528884,16.27184166719315,72285775.63,93.28558160667633
SC,93620,0.4209948392635319,15.926670478495613,45646506.59,88.43483799920106
SE,11337,0.38866527148896274,20.37384966648862,7252899.39,73.03645927807003
SP,1003699,0.44087923331780926,9.228422891340673,513159152.42,94.5694324973862
TO,5687,0.42191382514702147,17.510746815755883,4465313.38,89.1216335152262
