seller_id,order_count,avg_processing_time,avg_delivery_days,total_sales,shipping_costs,avg_order_value,shipping_ratio,on_time_delivery_rate,seller_score,prediction,performance_cluster,cluster,score,performance
00U0Udw6rshU,7,0.0711458333333333,3.785431547619048,689.5,219.95,98.5,31.899927483683825,100.0,50.27658444955146,0,1,0,49.67567207648381,High
01xUkncqaD55,4,0.0096643518518518,6.509664351851852,731.6,222.16,182.9,30.366320393657737,50.0,38.5722143177055,2,1,0,37.45686915580441,Low
03udyaVfPg3w,4,0.0943518518518518,5.594351851851852,537.9200000000001,99.91,134.48000000000002,18.573393813206422,75.0,44.138582354557286,1,1,0,43.31843962122106,Medium
05nIYpVrMwiz,171,0.4911940924842972,5.853767191899502,73325.34,5371.89,428.8031578947368,7.326103090691431,70.17543859649122,42.9609733203844,2,1,0,40.35126162732989,Low
07gyZgJ64fE7,1,1.248888888888889,6.248888888888889,46.2,14.18,46.2,30.692640692640687,100.0,44.55447162498963,1,1,0,44.27270920533057,Medium
09F3UWEcH2uN,1,0.0091087962962962,4.009108796296296,2799.65,70.89,2799.65,2.5321022270640974,100.0,67.02962655843503,0,1,0,49.95909377118438,High
0BKyRKbmL7lm,8,0.2730005787037037,4.648000578703703,5542.5,200.93,692.8125,3.6252593594948133,100.0,52.97504159004403,0,1,0,48.751256436580064,High
0BSAzZYz5osO,1,0.0104398148148148,4.010439814814815,65.06,20.9,65.06,32.12419305256686,100.0,50.34915240553545,0,1,0,49.95239381411631,High
0DNaX0F0Ui73,5,0.0072962962962962,4.607296296296296,454.97,263.11,90.994,57.83018660571027,60.0,40.522993109026565,2,1,0,39.967927007654595,Low
0G3Q4xIWFhMg,209,0.5599030325181641,5.445070496632997,20977.34,8549.17,100.37004784688996,40.75430917361305,82.77511961722487,43.8053913531984,1,1,0,43.18447097949172,Medium
0GEadORWUKUQ,2,0.5032581018518518,4.003258101851852,118.34,35.87,59.17,30.31096839614669,100.0,48.05343451919138,1,1,0,47.69253777642933,Medium
0HbVEHMspxA1,179,0.4082549012000828,5.877528644216843,22407.66,4308.84,125.18245810055866,19.229317117450016,80.44692737430168,44.06044386378521,1,1,0,43.2904739482595,Medium
0IrmNDkZ8lJi,534,0.6108665166805383,5.335585617804133,105018.26,19089.88,196.6634082397004,18.177676910662967,85.2059925093633,44.87132138183447,1,1,0,43.66059748421022,Medium
0LjmES9V5fHW,67,0.2532039455500276,5.074099467938088,12817.52,3428.55,191.3062686567164,26.748934271216275,82.08955223880598,45.54926887619115,1,1,0,44.381236558611434,Medium
0Mzbc3aACMOQ,21592,0.4057375727721515,5.48752712445796,3698715.99,869048.26,171.30029594294183,23.495944602115827,75.21304186735827,49.94831325692575,0,1,0,48.317317391725084,High
0NXnoudqCr2b,2,0.0228587962962962,5.522858796296296,696.3,297.04,348.15,42.65977308631337,50.0,39.5186825702381,2,1,0,37.39583426995276,Low
0SHS5xDUVSpP,1,0.0076041666666666,7.007604166666667,151.72,49.01,151.72,32.302926443448456,100.0,50.89057296133522,0,1,0,49.96541732618712,High
0TGBD26I0208,613,0.6587802851791432,5.790917316174249,265589.76,22645.5,433.26225122349103,8.526495901046786,76.3458401305057,43.90469395360074,1,1,0,41.281177877890784,Medium
0UJwyzr6G2Qa,3,0.5052430555555555,5.171909722222222,1308.54,145.2,436.18,11.0963363748911,66.66666666666666,42.01016741499707,2,1,0,39.35061841147887,Low
0YdJSAunKLGa,6,0.4369155092592592,6.103582175925927,497.36,215.93,82.89333333333333,43.4152324272157,66.66666666666666,40.17030094545999,2,1,0,39.66457402798799,Low
0ZnyFkOHIcfC,9,0.1245177469135802,5.5689621913580245,1604.69,426.08,178.29888888888888,26.55216895475138,88.88888888888889,47.74126106153879,1,1,0,46.65383932809768,Medium
0b9lM9eDKXf5,4,0.0260358796296296,5.52603587962963,1438.4,199.9,359.6,13.89738598442714,100.0,52.07457412043557,0,1,0,49.88194128551895,High
0cN5BVsfhFQY,1,0.0069444444444444,6.006944444444445,692.0,60.02,692.0,8.673410404624278,100.0,54.18799680799436,0,1,0,49.968560596041755,High
0cZYf13ssPdF,85,0.1518257080610021,4.904766884531591,44818.9,7766.309999999999,527.2811764705882,17.328203057192386,55.294117647058826,41.36977906869462,2,1,0,38.158925253418,Low
0cnXhOqSeYuN,26,1.208931623931624,6.593547008547008,16097.26,846.26,619.1253846153846,5.2571679900802994,42.30769230769231,33.81615968878327,2,2,0,30.042826061817554,Low
0d6YEJEj6lhU,1,1.2605439814814814,8.260543981481481,56.7,20.9,56.7,36.860670194003525,0.0,19.56504447643613,2,2,0,19.219259797843836,Low
0dqGLUrWy1bt,1,0.025625,6.025625,35.7,31.1,35.7,87.11484593837535,100.0,50.10048644281569,0,1,0,49.88274628208986,High
0gzNO7W513Gr,1,0.0,6.0,18.1,6.47,18.1,35.74585635359115,100.0,50.11068852460839,0,1,0,50.00026186457064,High
0irpsZh24yl6,1,1.9969212962962963,8.996921296296296,132.76,34.87,132.76,26.265441398011447,0.0,16.65170872886976,2,2,0,15.842159001281107,Low
0kd4nvPqfBUC,23,0.3256325483091787,5.543023852657004,1929.9,1976.13,83.90869565217392,102.3954609047101,69.56521739130434,41.41696811652167,1,1,0,40.90426586901851,Medium
0la80NIAHNZZ,54,0.3413871742112482,6.08212791495199,10202.15,1961.51,188.9287037037037,19.226437564630984,72.22222222222221,42.65932858223738,1,1,0,41.5060621227887,Medium
0mNQOOvRxX8B,1,0.0077199074074074,4.007719907407408,173.2,24.73,173.2,14.278290993071593,100.0,51.02101808920463,0,1,0,49.96489120435312,High
0pPOelafmUDD,17,0.4906365740740741,5.961224809368192,5514.91,268.0,324.40647058823527,4.859553465061079,88.23529411764706,46.79227745821132,1,1,0,44.814289678082254,Medium
0q4vSgMUGbNP,1,0.0072916666666666,7.007291666666666,59.85,92.03,59.85,153.76775271512113,100.0,50.331821831821244,0,1,0,49.966830475548974,High
0tBoRWzPdf1v,65,0.5574415954415954,5.511287749287749,12367.76,2619.8,190.2732307692308,21.182493838819642,78.46153846153847,43.24005014167248,1,1,0,42.078347829608845,Medium
123r3r62xRB8,1,0.0154513888888888,5.015451388888889,28.8,17.59,28.8,61.076388888888886,100.0,50.10507060726694,0,1,0,49.92940221669724,High
13SGAFbd1P23,13,0.4871688034188034,5.871784188034188,6182.6900000000005,538.05,475.5915384615385,8.702522688344393,92.3076923076923,48.74685344183885,1,1,0,45.84740664333107,Medium
14AIqEsZssES,37,0.027563501001001,5.270806744244244,4834.530000000001,1872.75,130.662972972973,38.736960986900485,64.86486486486487,41.898462847823936,1,1,0,41.10040290877904,Medium
15ObmEc5xtyV,4,1.6259953703703705,8.62599537037037,2039.96,245.28,509.99,12.023765171866115,100.0,45.65397660617544,1,2,0,42.54446039183153,Medium
15xInlKerZpx,2,0.5092129629629629,4.5092129629629625,112.73,252.69,56.365,224.1550607646589,100.0,48.009021089986845,1,1,0,47.665226825316196,Medium
16pMg4KJ3hIj,881,0.4416217629377391,5.361031524572246,158025.5,41070.76,179.3706015891033,25.989957317015293,77.97956867196368,43.84732199025294,1,1,0,42.731215455179054,Medium
16wOhdFbtvPq,1,0.7370949074074075,3.737094907407408,26.14,115.43,26.14,441.583779648049,100.0,46.779304699569295,1,1,0,46.61985528126267,Medium
18sm9SoU62gR,1,2.44412037037037,6.444120370370371,181.56,12.28,181.56,6.763604318131747,0.0,14.898360212101649,2,2,0,13.7912594144233,Low
1B2xMd2eH2aU,64,0.376214916087963,5.579339916087963,17534.49,3367.9700000000003,273.97640625,19.207687249529357,78.125,44.49710753305054,1,1,0,42.82620883348689,Medium
1D2cEU39QPD6,361,0.4642151110598133,6.1761264684005335,163236.28,9827.7,452.1780609418283,6.020536611101405,85.59556786703601,47.14352116032805,1,1,0,44.39861542330665,Medium
1DpugyRBC5sk,18,0.1491493055555555,5.315815972222222,7042.64,487.64,391.2577777777778,6.9241080049526875,77.77777777777779,46.15195450521378,1,1,0,43.766604150874024,Medium
1Ho8qRyOp91O,12,0.2054272762345678,5.205427276234568,939.04,396.81,78.25333333333333,42.256985857897426,75.0,43.28890958119084,1,1,0,42.81118475533631,Medium
1JinMoPQlbPb,2,0.0137268518518518,5.513726851851851,309.89,73.93,154.945,23.856852431507956,100.0,50.88248065431353,0,1,0,49.93763031468736,High
1KZwJ21l1h3h,8,0.1248929398148148,5.624892939814815,3283.96,354.96000000000004,410.495,10.808901448251502,75.0,45.682829155593,1,1,0,43.18000433931546,Medium
1KgnSYP2AfIM,6,0.2136921296296296,5.21369212962963,947.08,38.34,157.84666666666666,4.04823246188284,66.66666666666666,41.65106458521489,1,1,0,40.68840200604946,Medium
1LZbgYQZRSEf,11,0.191194234006734,5.645739688552188,6183.719999999999,362.11,562.1563636363636,5.855860226530309,90.9090909090909,50.28176982748883,1,1,0,46.85461662682608,Medium
1T4Kvn885SNP,1,0.0124305555555555,7.012430555555556,156.3,86.74,156.3,55.49584133077414,0.0,25.89636544283292,2,2,0,24.94328390807395,Low
1UBbfTkC9FVR,102,1.8143567311183733,6.902592025236021,53145.94,6158.13,521.0386274509805,11.587206849667162,70.58823529411765,37.53615216858319,2,2,0,34.36408068328259,Low
1UrSrrsGE1v8,26,0.2194644764957264,5.796387553418804,8858.14,1452.32,340.6976923076923,16.395315495126518,61.53846153846154,41.46393664006252,2,1,0,39.38675991304951,Low
