customer_state,product_category_name,order_count
AC,toys,754
AL,toys,9351
AM,toys,2323
AP,toys,1504
BA,toys,61176
CE,toys,28998
DF,toys,34203
ES,toys,40860
GO,toys,49884
MA,toys,13331
MG,toys,229613
MS,toys,12408
MT,toys,17097
PA,toys,16072
PB,toys,10981
PE,toys,33277
PI,toys,7259
PR,toys,84474
RJ,toys,245176
RN,toys,8120
RO,toys,4529
RR,toys,707
RS,toys,112508
SC,toys,66527
SE,toys,9148
SP,toys,764750
TO,toys,4591
