product_category_name,order_year,order_month,count,date
books_imported,2017,2,1,2017-02-01
books_imported,2017,4,1,2017-04-01
books_imported,2017,8,2,2017-08-01
books_imported,2017,9,2,2017-09-01
books_imported,2017,11,6,2017-11-01
books_imported,2018,1,5,2018-01-01
books_imported,2018,2,1,2018-02-01
books_imported,2018,7,1,2018-07-01
books_imported,2018,8,1,2018-08-01
books_technical,2016,10,1,2016-10-01
books_technical,2017,5,1,2017-05-01
books_technical,2017,8,2,2017-08-01
books_technical,2017,9,2,2017-09-01
books_technical,2017,10,1,2017-10-01
books_technical,2017,11,6,2017-11-01
books_technical,2018,1,14,2018-01-01
books_technical,2018,2,13,2018-02-01
books_technical,2018,3,10,2018-03-01
books_technical,2018,4,115,2018-04-01
books_technical,2018,5,985,2018-05-01
books_technical,2018,6,113,2018-06-01
books_technical,2018,7,40,2018-07-01
books_technical,2018,8,11,2018-08-01
christmas_supplies,2017,4,1,2017-04-01
christmas_supplies,2017,7,5,2017-07-01
christmas_supplies,2017,8,5,2017-08-01
christmas_supplies,2017,9,11,2017-09-01
christmas_supplies,2017,10,3,2017-10-01
christmas_supplies,2017,11,16,2017-11-01
christmas_supplies,2017,12,9,2017-12-01
christmas_supplies,2018,1,14,2018-01-01
christmas_supplies,2018,2,7,2018-02-01
christmas_supplies,2018,3,10,2018-03-01
christmas_supplies,2018,4,15,2018-04-01
christmas_supplies,2018,7,3,2018-07-01
cine_photo,2018,3,1,2018-03-01
cine_photo,2018,5,1,2018-05-01
cine_photo,2018,6,3,2018-06-01
computers,2017,8,151,2017-08-01
computers,2017,9,70,2017-09-01
computers,2017,12,204,2017-12-01
computers,2018,1,147,2018-01-01
computers,2018,5,6,2018-05-01
computers,2018,6,7,2018-06-01
computers,2018,7,46,2018-07-01
computers,2018,8,92,2018-08-01
computers_accessories,2016,10,11,2016-10-01
computers_accessories,2017,1,36,2017-01-01
computers_accessories,2017,2,846,2017-02-01
computers_accessories,2017,3,1016,2017-03-01
computers_accessories,2017,4,650,2017-04-01
computers_accessories,2017,5,822,2017-05-01
computers_accessories,2017,6,1892,2017-06-01
computers_accessories,2017,7,5400,2017-07-01
computers_accessories,2017,8,3326,2017-08-01
computers_accessories,2017,9,2827,2017-09-01
computers_accessories,2017,10,4318,2017-10-01
computers_accessories,2017,11,4044,2017-11-01
computers_accessories,2017,12,5687,2017-12-01
computers_accessories,2018,1,15604,2018-01-01
computers_accessories,2018,2,16096,2018-02-01
computers_accessories,2018,3,9386,2018-03-01
computers_accessories,2018,4,12090,2018-04-01
computers_accessories,2018,5,4501,2018-05-01
computers_accessories,2018,6,6632,2018-06-01
computers_accessories,2018,7,4497,2018-07-01
computers_accessories,2018,8,2818,2018-08-01
consoles_games,2017,1,1,2017-01-01
consoles_games,2017,2,8,2017-02-01
consoles_games,2017,3,67,2017-03-01
consoles_games,2017,4,34,2017-04-01
consoles_games,2017,5,132,2017-05-01
consoles_games,2017,6,15,2017-06-01
consoles_games,2017,7,20,2017-07-01
consoles_games,2017,8,25,2017-08-01
consoles_games,2017,9,11,2017-09-01
consoles_games,2017,10,14,2017-10-01
consoles_games,2017,11,29,2017-11-01
consoles_games,2017,12,30,2017-12-01
consoles_games,2018,1,19,2018-01-01
consoles_games,2018,2,12,2018-02-01
consoles_games,2018,3,45,2018-03-01
consoles_games,2018,4,37,2018-04-01
consoles_games,2018,5,27,2018-05-01
consoles_games,2018,6,41,2018-06-01
consoles_games,2018,7,94,2018-07-01
consoles_games,2018,8,43,2018-08-01
construction_tools_construction,2017,2,1,2017-02-01
construction_tools_construction,2017,8,2,2017-08-01
construction_tools_construction,2017,9,1,2017-09-01
construction_tools_construction,2017,10,2,2017-10-01
construction_tools_construction,2017,11,15,2017-11-01
construction_tools_construction,2017,12,6,2017-12-01
construction_tools_construction,2018,1,42,2018-01-01
construction_tools_construction,2018,2,141,2018-02-01
construction_tools_construction,2018,3,36,2018-03-01
construction_tools_construction,2018,4,82,2018-04-01
