category,arima_params,avg_historical_demand,forecast_demand,min_forecast,max_forecast,growth_rate,mae,rmse,mape,data_quality,has_visualization
toys,"(3,2,0)",15018.91304347826,1501.891304347826,0.0,9122.488181453333,-80.0,11144.79310586775,13619.111857680715,49.33221472630489,Sufficient,True
health_beauty,"(0,2,1)",1776.952380952381,1555.5137060634515,0.0,6010.758804972587,-10.02261858094007,240.9011715228737,297.6245482145397,14.456602588794544,Sufficient,True
computers_accessories,"(1,2,1)",1208.095238095238,1348.05156984905,0.0,5757.577616448583,-16.078398610096283,2000.3939361490818,2229.590652804057,66.61343778714574,Sufficient,True
garden_tools,"(2,2,0)",1002.9,100.29,0.0,3408.7774002586757,-76.8739431206764,2670.5143697534772,2809.697801160052,89.9715452235965,Sufficient,True
watches_gifts,"(0,2,1)",573.75,396.46877745297166,0.0,4714.022583323738,-28.245051498862622,4106.159095270579,4700.192650029266,78.0158831030629,Sufficient,True
