seller_id,prediction,order_count,avg_processing_time,avg_delivery_days,total_sales,avg_order_value,on_time_delivery_rate,performance_cluster
d8ZcWqlsD0Fk,0,1,0.0,5.0,339.2,339.2,0.85,1
WTbhLip6Y9IF,0,790,0.5189873417721519,5.0,195368.66999999862,247.30211392404888,0.85,1
OnC6iPAbNc8Z,0,850,0.5247058823529411,5.0,95488.51000000036,112.33942352941219,0.85,1
rFT13UJuGo0Q,0,180,0.31666666666666665,5.0,49823.87000000002,276.7992777777779,0.85,1
ScwaavHd7Xqh,0,13,0.8461538461538461,5.0,4377.549999999999,336.7346153846153,0.85,1
WC3AzGT7OMa6,0,73,0.2465753424657534,5.0,26051.119999999995,356.86465753424653,0.85,1
lXOZaeAgIEqx,0,1,1.0,5.0,820.05,820.05,0.85,1
wAgnN3eGF2Af,0,978,0.33537832310838445,5.0,189621.19000000073,193.88669734151404,0.85,1
lthqXs7LwkJD,1,9,4.666666666666667,5.0,2318.3999999999996,257.59999999999997,0.85,2
FZkwqG511JFn,0,3,0.6666666666666666,5.0,643.98,214.66,0.85,1
D2ZM0vSoKVnG,1,1,2.0,5.0,127.77,127.77,0.85,2
Rf2xDljNLyHA,0,17,0.9411764705882353,5.0,578.0,34.0,0.85,1
BqyPFmbF0LUI,0,1,0.0,5.0,239.5,239.5,0.85,1
YmrGRjpmFizB,0,7,0.5714285714285714,5.0,1357.0800000000002,193.86857142857144,0.85,1
5zddfltaxViQ,0,1,0.0,5.0,195.65,195.65,0.85,1
SyVIL3XEef0W,0,10,0.0,5.0,2235.1,223.51,0.85,1
EybhEhIeSVIT,0,25,0.16,5.0,3822.2200000000016,152.88880000000006,0.85,1
ptlDDuOMHnex,0,3,0.6666666666666666,5.0,350.7,116.89999999999999,0.85,1
BB2tmAef9FCb,0,1,0.0,5.0,161.0,161.0,0.85,1
jr5h8sSfCvnb,0,1,0.0,5.0,2899.0,2899.0,0.85,1
NvJPqsjJRer8,0,3,0.3333333333333333,5.0,377.88,125.96,0.85,1
onaFRg1Shv6L,0,1,0.0,5.0,548.0,548.0,0.85,1
OZWfb45EeTAY,0,1,0.0,5.0,344.0,344.0,0.85,1
oiI843jTnEsW,1,1,2.0,5.0,42.89,42.89,0.85,2
vz55QODTJGmn,0,2,0.0,5.0,1027.8,513.9,0.85,1
INtFf93xgez9,0,1,0.0,5.0,42.89,42.89,0.85,1
