seller_id,order_count,avg_processing_time,avg_delivery_days,total_sales,shipping_costs,avg_order_value,shipping_ratio,on_time_delivery_rate,seller_score,prediction,performance_cluster,cluster,score,performance
00IDBo9tDI9Z,4,0.4572511574074074,9.19443287037037,671.36,112.9,167.84,16.81661105815062,100.0,49.7665081345681,1,1,0,48.85232683434286,Medium
00U0Udw6rshU,34,0.0742582380174291,12.76854609204793,3866.53,1311.47,113.7214705882353,33.91852643067557,100.0,50.434919606153855,0,1,0,49.81528091836947,High
01xUkncqaD55,1,0.0096643518518518,28.326597222222222,182.9,55.54,182.9,30.366320393657737,50.0,38.47198305311663,2,2,0,37.47579124231191,Low
03T0IIjAYOer,1,3.3839236111111117,6.269537037037037,46.6,7.52,46.6,16.13733905579399,100.0,41.75888325640625,2,1,0,41.50506098667422,Low
03udyaVfPg3w,10,0.5919930555555555,9.276895833333333,2342.15,484.75,234.215,20.696795679183655,100.0,49.79011450007791,1,1,0,48.51440872928062,Medium
05nIYpVrMwiz,870,0.4587282487228608,16.719081776819923,307770.37,27249.83,353.7590459770115,8.853948481135465,73.44827586206897,44.186891546012106,2,1,0,42.26188694053146,Low
09F3UWEcH2uN,1,0.0091087962962962,9.82519675925926,2799.65,70.89,2799.65,2.5321022270640974,100.0,65.22582869764398,0,1,0,49.97728548110197,High
0BKyRKbmL7lm,37,0.0152780905905905,11.369279592092091,40966.41,974.51,1107.2002702702705,2.3788025360289073,100.0,55.99425877533376,0,1,0,49.96489304781622,High
0BQnfCxbj5F7,3,0.0084259259259259,9.469189814814817,650.7,406.86,216.9,62.52650991240203,100.0,51.16039124537073,0,1,0,49.97900923682545,High
0BSAzZYz5osO,1,0.0104398148148148,21.46162037037037,65.06,20.9,65.06,32.12419305256686,50.0,37.82820626906847,2,2,0,37.47384003948169,Low
0DFwTGerNafv,25,0.9993171296296296,26.1146875,451.0,508.25,18.04,112.6940133037694,100.0,47.59100176529592,1,1,0,47.492476675828115,Medium
0DNaX0F0Ui73,36,0.0091203703703703,6.169768518518518,3689.28,2079.7200000000003,102.48,56.37197501951601,100.0,50.537327427237685,0,1,0,49.97888723425445,High
0EqTR9XQXR9w,1,0.0103587962962962,3.906469907407408,1009.0,15.88,1009.0,1.5738354806739345,100.0,55.46969506063829,0,1,0,49.974079347558,High
0G3Q4xIWFhMg,795,0.5660845562543676,11.865298552876776,104389.31,38833.71,131.30730817610063,37.20084939731856,87.7892030848329,46.28672823409355,2,1,0,45.56645069489582,Low
0GEadORWUKUQ,11,0.0964046717171717,9.565526094276096,2097.74,486.46,190.7036363636364,23.189718458912928,100.0,50.79730435674495,0,1,0,49.75856787665635,High
0HbVEHMspxA1,854,0.3084895833333334,15.828564787709256,108040.76,19623.62,126.51142857142855,18.16316360603165,92.62394195888754,48.11932186413578,1,1,0,47.42463161865195,Medium
0IrmNDkZ8lJi,3986,0.5340458125429745,9.319909117675754,832395.49,131380.56,208.8297767185148,15.783430061592476,84.54203262233375,46.15959712305279,2,1,0,45.008387403146656,Low
0LjmES9V5fHW,405,0.6173727709190673,14.505475251486054,81066.72,17544.3,200.16474074074077,21.641803196182106,80.74074074074075,44.74865611788072,2,1,0,43.65689926897237,Low
0Mzbc3aACMOQ,96383,0.4059013221172783,13.544706037275668,17807817.76,3908862.87,184.760982330909,21.950263208443793,94.92318465390656,54.21526768409508,0,1,0,52.78715733040471,High
0NXnoudqCr2b,2,0.0102141203703703,12.794768518518518,548.22,88.19999999999999,274.11,16.088431651526758,100.0,51.46744644324138,0,1,0,49.97447063468273,High
0P23RFuImtdl,4,0.382662037037037,13.800219907407408,551.52,165.64,137.88,30.033362344067307,100.0,49.79057549458079,1,1,0,49.03957046199514,Medium
0SHS5xDUVSpP,18,0.1096579218106996,5.672710905349795,2605.23,1065.97,144.735,40.916540957996034,100.0,50.51405886063418,0,1,0,49.72563568057515,High
0TGBD26I0208,3104,0.558420302954372,6.735938674559708,746582.77,137256.54,240.52279961340207,18.38463804890649,96.06578523057078,49.101661509856434,1,1,0,47.78462724678327,Medium
0UJwyzr6G2Qa,5,0.0080162037037037,12.355541666666667,1564.19,669.8299999999999,312.838,42.82280285643048,100.0,51.68407200479966,0,1,0,49.980163817088155,High
0XXKBx1Yt8UD,7,0.1944626322751323,4.825525793650793,222.84,804.74,31.83428571428572,361.12906120983666,100.0,49.68561048871834,0,1,0,49.51214976487388,High
0YdJSAunKLGa,13,0.6591773504273504,17.30261396011396,2733.33,597.51,210.25615384615384,21.86014860993733,69.23076923076923,41.79882395770291,2,2,0,40.653593656677735,Low
0ZnyFkOHIcfC,17,0.5488262527233116,6.096493055555555,2201.69,1137.07,129.51117647058825,51.645326998805466,100.0,49.3285972209153,1,1,0,48.623088520667025,Medium
0b9lM9eDKXf5,2,0.0089583333333333,12.15595486111111,466.34,197.82,233.17,42.419693785649955,100.0,51.24761421584161,0,1,0,49.97762004097533,High
0cN5BVsfhFQY,4,0.0080902777777777,18.997297453703705,41.4,80.46000000000001,10.35,194.34782608695656,100.0,50.0362908890862,0,1,0,49.979874288145325,High
0cZYf13ssPdF,380,0.3921963023879142,13.936494700292398,153305.63999999998,22710.7,403.4358947368421,14.814001624467307,94.47368421052632,49.85288947416156,1,1,0,47.65702532719976,Medium
0cnXhOqSeYuN,188,0.395758655929866,9.280688965228526,98814.62,3275.89,525.6096808510638,3.315187570422271,98.40425531914892,51.48107334642289,1,1,0,48.619891209618686,Medium
0d6YEJEj6lhU,1,0.0179861111111111,8.473414351851853,56.7,2.46,56.7,4.338624338624339,100.0,50.26372831216908,0,1,0,49.95489553352411,High
0dqGLUrWy1bt,1,0.0094444444444444,30.0,35.7,60.74,35.7,170.14005602240897,50.0,37.67079218828016,2,2,0,37.4763376954938,Low
0irpsZh24yl6,1,0.0067824074074074,12.93181712962963,1949.9,36.75,1949.9,1.8847120365146928,100.0,60.60340087985383,0,1,0,49.98309330180433,High
0kd4nvPqfBUC,11,0.2530197811447812,8.566579335016835,3917.94,373.03,356.17636363636365,9.521074850559222,100.0,51.3054060774202,1,1,0,49.365471283293374,Medium
0la80NIAHNZZ,135,0.2692518861454047,9.902467421124827,68865.64,5147.05,510.1158518518519,7.474046563714502,94.81481481481482,50.81388338282858,1,1,0,48.03655521224202,Medium
0mNQOOvRxX8B,1,0.0083680555555555,30.0,84.52,70.06,84.52,82.89162328442973,50.0,37.93939848947562,2,2,0,37.479041714993215,Low
0pPOelafmUDD,76,0.7230671296296297,10.145285392300195,36677.26,2099.23,482.5955263157895,5.723519150558139,100.0,50.81766610526679,1,1,0,48.18967892019994,Medium
0q4vSgMUGbNP,3,0.0473109567901234,20.822820216049383,229.02,144.21,76.33999999999999,62.96829971181557,100.0,50.29719709902777,0,1,0,49.88137638642725,High
0tBoRWzPdf1v,188,0.6178554718282112,15.086509616331757,39330.49,8610.15,209.2047340425532,21.8917943814074,95.16129032258064,48.38944277243019,1,1,0,47.24933558838278,Medium
11TAAnQF96E6,4,0.0056886574074074,4.6904918981481485,2316.0,278.48,579.0,12.024179620034543,100.0,53.13954212814279,0,1,0,49.9859898598703,High
123r3r62xRB8,2,0.0154513888888888,21.939131944444444,267.44,78.88,133.72,29.494466048459465,100.0,50.68964741209501,0,1,0,49.96131233519421,High
12KFsMrvF25x,4,0.0103067129629629,6.21818287037037,395.29,53.45,98.8225,13.521718232183966,100.0,50.51260312195265,0,1,0,49.974323625860116,High
13SGAFbd1P23,72,0.6624836033950617,14.035231481481482,22330.0,2760.87,310.1388888888889,12.363949843260187,87.5,46.90522027286336,2,1,0,45.2160390658085,Low
14AIqEsZssES,137,0.5702838605028386,16.32151873817248,16344.63,6786.28,119.30386861313868,41.519936517376046,100.0,49.22597887747482,1,1,0,48.575234895132105,Medium
15ObmEc5xtyV,1,1.6259953703703705,10.510104166666666,509.99,61.32,509.99,12.023765171866115,50.0,36.19588897703535,2,2,0,33.41817366520737,Low
15xInlKerZpx,12,0.3784211033950617,13.042297453703704,2125.13,702.78,177.09416666666667,33.06997689553109,83.33333333333334,45.84859630724085,2,1,0,44.883975114535865,Low
15z7ulBW409e,1,0.0067592592592592,13.583900462962964,499.65,55.54,499.65,11.115781046732714,100.0,52.70449384924726,0,1,0,49.983096226742035,High
16pMg4KJ3hIj,4160,0.6627974286636397,12.876413094284189,873300.8,187616.12,209.92807692307693,21.483562135749786,92.70126091173618,47.8920926915105,2,1,0,46.73447271792212,Low
19cBoLNj9Z4T,1,0.0089814814814814,14.979814814814814,419.8,40.72,419.8,9.69985707479752,100.0,52.26400233867604,0,1,0,49.97751453168553,High
1B2xMd2eH2aU,123,0.429887834989461,12.219326633544112,27755.13,5254.0,225.65146341463412,18.929833872152642,87.5,47.03186520811486,2,1,0,45.802479856976284,Low
1D2cEU39QPD6,2190,0.5720021985455775,7.899126601344495,1334308.38,94037.24,609.2732328767124,7.047639167191622,99.95433789954338,51.99601917563028,1,1,0,48.70333072955044,Medium
1DpugyRBC5sk,94,0.2344321315996847,9.878843085106384,18150.28,5666.83,193.088085106383,31.22172219932696,95.74468085106383,49.4046920898605,1,1,0,48.35263249359879,Medium
1Gs7J0MsAQbv,1,0.0115972222222222,26.27859953703704,179.38,138.23,179.38,77.05987289552904,50.0,38.44795867085656,2,2,0,37.47093883939575,Low
1H1vZ3c8Yood,2,1.7242534722222222,6.5392013888888885,552.88,99.96,276.44,18.07987266676313,100.0,47.17722049648108,2,1,0,45.67155423344019,Low
1Ho8qRyOp91O,11,0.2210290404040404,12.34463068181818,1964.06,417.17,178.55090909090907,21.240186145026122,100.0,50.41825658445132,0,1,0,49.44570634247977,High
1JinMoPQlbPb,9,0.4317631172839506,9.991949588477366,1369.41,555.89,152.15666666666664,40.59339423547367,88.88888888888889,46.96757938172523,2,1,0,46.13878881563995,Low
1KZwJ21l1h3h,27,0.3972852366255144,19.946692386831277,5610.39,1273.92,207.79222222222225,22.706442867608136,88.88888888888889,47.35818501235258,2,1,0,46.226324602815254,Low
1KgnSYP2AfIM,8,0.3015957754629629,8.849612268518518,1381.34,499.97,172.66750000000002,36.194564698046825,100.0,50.183786405650345,1,1,0,49.24329292185769,Medium
1LZbgYQZRSEf,40,0.1072282986111111,12.84512037037037,15326.25,1593.82,383.15625,10.399282277138894,95.0,50.57000361286128,1,1,0,48.48322286672265,Medium
1OSRAbsVyl5e,4,0.0105555555555555,17.610983796296296,478.36,32.88,119.59,6.87348440505059,100.0,50.62509117374015,0,1,0,49.973702093595364,High
1T4Kvn885SNP,3,0.0134375,4.650127314814815,433.58,100.43,144.52666666666667,23.16296877162231,100.0,50.75361994395122,0,1,0,49.96641994208286,High
1UBbfTkC9FVR,369,1.8179612691960252,27.29279722473151,192126.27,22244.89,520.6673983739837,11.57826568953845,100.0,48.29312298514796,2,2,0,45.46034573179142,Low
1UrSrrsGE1v8,117,0.1529665242165242,7.112355868154479,37663.91,3368.92,321.9137606837607,8.944690022889285,91.45299145299144,49.23925731464085,1,1,0,47.486013009893455,Medium
1WLscp8MQxbC,26,0.1994738247863247,10.43700543091168,9772.14,625.22,375.8515384615384,6.397984474229801,100.0,51.5478463758528,0,1,0,49.50079998643004,High
1X9869nA1WYV,289,1.0007747821350763,4.353898420479303,24091.04,9921.37,83.36,41.182821497120926,100.0,47.95817291288773,1,1,0,47.501762570304706,Medium
1XfOmor6Tpc7,3,0.0132793209876543,7.614309413580247,1637.2,40.34,545.7333333333333,2.4639628634253605,100.0,52.93923853182885,0,1,0,49.966862835061434,High
1Yy6Z1b3bzM0,892,0.5641995982810165,11.35217950714167,370642.61,37231.64,415.5186210762332,10.045159135912625,94.17142857142858,49.44054080695462,1,1,0,47.18129658783944,Medium
1b6QwEUEjB7M,125,0.5938009259259258,13.442718425925928,58574.9,7962.91,468.5992,13.59440647785997,92.0,49.06873735243783,2,1,0,46.517257213433865,Low
1bok87t4PI1j,4,0.5111921296296297,17.54818287037037,380.8,103.18,95.2,27.095588235294123,50.0,36.73545226216786,2,2,0,36.21690260684717,Low
1buvip3eJWtW,4,0.5115625,16.635503472222222,679.96,176.89999999999998,169.99,26.01623624919112,50.0,37.141875427254206,2,2,0,36.215984214631604,Low
1h6SSNc2BYo9,700,0.2590476851851852,11.270139203042328,108763.41,30246.43,155.3763,27.809380011163682,89.30722891566265,47.56269513786562,2,1,0,46.71257296723674,Low
