product_category_name,order_year,order_month,order_count,total_sales
industry_commerce_and_business,2018,6,33,1248.7200000000003
market_place,2018,2,18,4291.589999999999
small_appliances,2018,1,2,1028.0
fixed_telephony,2018,6,3,530.95
costruction_tools_tools,2018,6,4,2480.4
market_place,2017,11,9,831.18
sports_leisure,2018,5,186,45193.650000000016
costruction_tools_garden,2018,8,8,389.19999999999993
baby,2017,6,26,2396.700000000001
telephony,2018,4,249,162056.6599999997
cool_stuff,2018,8,57,14662.809999999989
furniture_decor,2017,6,106,77860.47000000018
health_beauty,2017,1,24,2015.4300000000007
signaling_and_security,2017,11,3,479.97
construction_tools_lights,2018,8,16,23339.5
fashion_male_clothing,2017,10,1,17.6
consoles_games,2017,10,13,880.8999999999997
watches_gifts,2018,6,481,121416.61999999963
musical_instruments,2017,7,2,88.69999999999999
musical_instruments,2018,3,9,843.08
air_conditioning,2018,3,8,2586.4
office_furniture,2017,7,40,6546.529999999994
fashion_shoes,2018,5,1,89.99
musical_instruments,2017,10,1,692.0
toys,2018,5,28514,23891021.74000015
health_beauty,2018,3,1426,208308.81999999925
sports_leisure,2017,8,638,97843.64999999963
auto,2018,2,199,56616.66000000001
home_appliances,2018,3,97,7644.580000000008
perfumery,2018,1,184,21325.580000000034
musical_instruments,2017,6,3,170.67000000000002
home_confort,2017,6,6,238.49
party_supplies,2017,11,1,260.0
computers_accessories,2018,6,1963,729977.9799999923
sports_leisure,2018,3,397,105542.22000000015
health_beauty,2017,4,925,113898.09000000094
fashion_bags_accessories,2017,6,15,2323.2
costruction_tools_garden,2018,4,2,128.8
home_appliances,2017,4,26,10921.819999999996
market_place,2017,7,6,230.87999999999997
fashion_underwear_beach,2018,4,1,692.0
sports_leisure,2017,5,211,28760.10999999993
computers_accessories,2018,3,3132,738283.9300000094
baby,2017,10,28,3373.4600000000005
home_construction,2017,2,1,537.99
drinks,2018,4,5,859.92
health_beauty,2018,5,1922,151037.9900000043
housewares,2018,3,82,18365.92
furniture_living_room,2018,7,14,4034.46
cool_stuff,2018,4,180,64928.00999999977
home_appliances_2,2018,2,27,3401.480000000002
signaling_and_security,2017,7,1,107.54
small_appliances,2018,2,3,179.0
computers_accessories,2017,3,139,28159.13999999999
computers_accessories,2017,8,500,106164.11000000076
telephony,2017,6,58,62063.95000000004
garden_tools,2017,10,1779,1202953.0900000008
consoles_games,2017,3,32,26903.850000000002
consoles_games,2017,5,26,3383.76
luggage_accessories,2018,6,5,247.95999999999998
home_construction,2018,3,15,4760.91
computers,2017,9,8,273.64
small_appliances,2017,7,4,1610.94
office_furniture,2018,8,31,1805.0699999999995
health_beauty,2018,8,1345,82981.9999999985
electronics,2018,5,212,20372.709999999937
furniture_decor,2018,7,347,72326.47000000019
computers_accessories,2017,10,663,254773.77999999787
health_beauty,2017,8,2948,305050.48999999993
auto,2018,4,195,103015.64999999985
housewares,2017,7,129,25996.099999999948
office_furniture,2017,6,33,13935.0
market_place,2017,9,10,2083.2799999999997
furniture_decor,2016,10,7,3862.21
drinks,2017,8,1,129.46
fashion_male_clothing,2017,6,2,178.2
electronics,2017,3,2,208.8
market_place,2017,6,8,81.27999999999999
auto,2017,12,133,15835.649999999965
housewares,2017,3,43,3954.439999999999
food_drink,2018,6,1,31.0
christmas_supplies,2018,8,1,449.5
fashion_shoes,2017,3,3,979.1999999999999
flowers,2017,11,10,329.70000000000005
fashion_bags_accessories,2018,7,53,14549.019999999993
small_appliances_home_oven_and_coffee,2017,9,1,95.74
perfumery,2017,9,413,50519.2199999998
food_drink,2017,8,18,1845.3000000000004
baby,2017,3,9,3806.83
food_drink,2017,10,7,5669.829999999999
consoles_games,2017,1,1,399.2
electronics,2018,2,218,14409.689999999988
stationery,2018,3,15,11251.899999999998
pet_shop,2017,2,14,3304.5499999999997
fashion_shoes,2018,1,1,261.0
books_general_interest,2017,8,6,577.36
home_confort,2017,4,1,45.83
books_general_interest,2017,5,8,1535.58
cine_photo,2018,8,1,319.29
computers_accessories,2017,11,1153,163419.1999999982
air_conditioning,2017,8,3,300.3
books_general_interest,2017,3,5,330.87
housewares,2017,2,40,5579.330000000001
musical_instruments,2018,2,2,569.0
home_confort,2017,5,6,546.72
agro_industry_and_commerce,2018,8,11,1720.3700000000003
kitchen_dining_laundry_garden_furniture,2017,12,5,312.25
fashion_shoes,2017,4,1,150.82
small_appliances_home_oven_and_coffee,2018,3,1,320.99
perfumery,2017,12,728,101098.92999999899
consoles_games,2017,11,5,762.9599999999999
auto,2017,4,29,3937.200000000002
kitchen_dining_laundry_garden_furniture,2017,11,15,2757.8799999999997
costruction_tools_garden,2017,4,9,1565.8300000000002
auto,2018,7,121,40794.110000000066
small_appliances,2017,10,3,249.38
construction_tools_lights,2018,6,9,8515.0
fashion_male_clothing,2018,8,1,89.1
telephony,2017,9,169,540439.79
musical_instruments,2018,5,8,4717.1
fixed_telephony,2018,7,2,165.38
small_appliances,2017,2,3,449.27
home_appliances_2,2017,1,5,53.0
small_appliances_home_oven_and_coffee,2018,4,2,139.72
books_general_interest,2017,4,2,1196.0
home_appliances,2017,5,69,18073.41999999999
tablets_printing_image,2017,5,17,2132.82
telephony,2018,5,153,74830.17000000004
cool_stuff,2017,12,236,41205.05999999992
luggage_accessories,2017,2,57,20288.38
drinks,2017,9,1,116.11
garden_tools,2017,3,51,5393.349999999994
garden_tools,2017,4,226,95892.70000000006
